0;0
1;1
1;2
1;3
1;4
1;5
2;1
2;2
2;3
2;4
2;5
3;1
3;2
3;3
3;4
3;5
4;1
4;2
4;3
4;4
4;5
5;1
5;2
5;3
5;4
5;5
6;6
7;7
7;8
7;9
7;10
7;11
7;12
7;13
7;14
7;15
7;16
7;17
7;18
8;7
8;8
8;9
8;10
8;11
8;12
8;13
8;14
8;15
8;16
8;17
8;18
9;7
9;8
9;9
9;10
9;11
9;12
9;13
9;14
9;15
9;16
9;17
9;18
10;7
10;8
10;9
10;10
10;11
10;12
10;13
10;14
10;15
10;16
10;17
10;18
11;11
12;12
13;11
14;14
14;15
14;16
14;17
14;18
15;14
15;15
15;16
15;17
15;18
16;14
16;15
16;16
16;17
16;18
17;14
17;15
17;16
17;17
17;18
18;14
18;15
18;16
18;17
18;18
19;19
20;20
21;21
22;22
23;21
24;24
24;25
24;26
24;27
24;28
25;24
25;25
25;26
25;27
25;28
26;24
26;25
26;26
26;27
26;28
27;24
27;25
27;26
27;27
27;28
28;24
28;25
28;26
28;27
28;28
29;19
30;30
30;31
30;32
31;31
31;32
32;31
32;32
33;33
34;34
35;35
36;34
37;37
37;38
38;37
38;38
39;39
40;40
41;41
42;40
43;43
43;44
44;43
44;44
45;39
46;30
46;31
46;32
47;6
48;73
49;0
