0;0
1;1
1;2
1;3
2;1
2;2
2;3
3;1
3;2
3;3
4;4
5;5
5;6
5;7
6;6
7;5
7;6
7;7
8;8
8;9
9;8
9;9
10;10
11;11
12;12
13;13
14;14
14;15
15;14
15;15
16;5
16;6
16;7
17;16
17;17
17;18
17;19
18;16
18;17
18;18
18;19
19;22
19;23
19;24
20;22
20;23
20;24
21;22
21;23
21;24
22;26
23;27
24;28
24;29
24;30
25;29
26;28
26;29
26;30
27;31
28;32
28;33
28;34
28;35
28;36
28;37
28;38
28;39
28;40
28;41
28;42
29;32
29;33
29;34
29;35
29;36
29;37
29;38
29;39
29;40
29;41
29;42
30;32
30;33
30;34
30;35
30;36
30;37
30;38
30;39
30;40
30;41
30;42
31;32
31;33
31;34
31;35
31;36
31;37
31;38
31;39
31;40
31;41
31;42
32;44
33;27
34;46
34;47
34;48
35;50
36;51
36;52
36;53
36;54
36;55
36;56
36;57
36;58
36;59
36;60
36;61
37;51
37;52
37;53
37;54
37;55
37;56
37;57
37;58
37;59
37;60
37;61
38;51
38;52
38;53
38;54
38;55
38;56
38;57
38;58
38;59
38;60
38;61
39;51
39;52
39;53
39;54
39;55
39;56
39;57
39;58
39;59
39;60
39;61
40;63
